Location,2012,total_votes,2012_democrat_votes,2012_republican_votes
"Alabama, Autauga","54,954",23932,6363.0,17379.0
"Alabama, Baldwin","190,145",85338,18424.0,66016.0
"Alabama, Barbour","27,169",11509,5912.0,5550.0
"Alabama, Bibb","22,667",8420,2202.0,6132.0
"Alabama, Blount","57,580",24006,2970.0,20757.0
"Alabama, Bullock","10,606",5322,4061.0,1251.0
"Alabama, Butler","20,670",9496,4374.0,5087.0
"Alabama, Calhoun","117,190",46257,15511.0,30278.0
"Alabama, Chambers","34,104",14611,6871.0,7626.0
"Alabama, Cherokee","25,958",9779,2132.0,7506.0
"Alabama, Chilton","43,582",17462,3397.0,13932.0
"Alabama, Choctaw","13,563",7968,3786.0,4152.0
"Alabama, Clarke","25,155",13851,6334.0,7470.0
"Alabama, Clay","13,434",6662,1777.0,4817.0
"Alabama, Cleburne","14,889",6305,971.0,5272.0
"Alabama, Coffee","51,141",19770,4925.0,14666.0
"Alabama, Colbert","54,570",23385,9166.0,13936.0
"Alabama, Conecuh","13,046",7022,3555.0,3439.0
"Alabama, Coosa","11,346",5269,2191.0,3049.0
"Alabama, Covington","37,805",15423,3158.0,12153.0
"Alabama, Crenshaw","13,915",6418,2050.0,4331.0
"Alabama, Cullman","80,279",34457,5052.0,28999.0
"Alabama, Dale","50,289",18557,5286.0,13108.0
"Alabama, Dallas","42,789",20953,14612.0,6288.0
"Alabama, DeKalb","70,944",23863,5239.0,18331.0
"Alabama, Elmore","80,193",35485,8954.0,26253.0
"Alabama, Escambia","38,023",14869,5489.0,9287.0
"Alabama, Etowah","104,278",42530,12803.0,29130.0
"Alabama, Fayette","16,945",7946,1817.0,6054.0
"Alabama, Franklin","31,690",10859,3171.0,7567.0
"Alabama, Geneva","26,924",11320,2039.0,9175.0
"Alabama, Greene","8,848",5340,4521.0,804.0
"Alabama, Hale","15,364",8643,5411.0,3210.0
"Alabama, Henry","17,153",8760,3083.0,5628.0
"Alabama, Houston","103,371",41918,12367.0,29270.0
"Alabama, Jackson","53,079",20577,5822.0,14439.0
"Alabama, Jefferson","658,061",303918,159876.0,141683.0
"Alabama, Lamar","14,248",7166,1646.0,5457.0
"Alabama, Lauderdale","92,662",36924,12511.0,23911.0
"Alabama, Lawrence","33,806",14112,5069.0,8874.0
"Alabama, Lee","148,567",54359,21381.0,32194.0
"Alabama, Limestone","87,326",35459,9829.0,25295.0
"Alabama, Lowndes","10,851",7521,5747.0,1756.0
"Alabama, Macon","20,608",10394,9045.0,1331.0
"Alabama, Madison","342,730",155059,62015.0,90884.0
"Alabama, Marengo","20,375",11537,6167.0,5336.0
"Alabama, Marion","30,484",12105,2249.0,9697.0
"Alabama, Marshall","94,260",32566,6299.0,25867.0
"Alabama, Mobile","413,816",174864,78760.0,94893.0
"Alabama, Monroe","22,581",10708,4914.0,5741.0
"Alabama, Montgomery","228,874",101924,63085.0,38332.0
"Alabama, Morgan","120,102",49323,13439.0,35391.0
"Alabama, Perry","10,163",6099,4568.0,1506.0
"Alabama, Pickens","19,309",9611,4455.0,5124.0
"Alabama, Pike","33,215",14107,6035.0,7963.0
"Alabama, Randolph","22,533",10398,3078.0,7224.0
"Alabama, Russell","57,500",18879,10500.0,8278.0
"Alabama, St. Clair",,35148,5801.0,29031.0
"Alabama, Shelby","200,912",92507,20051.0,71436.0
"Alabama, Sumter","13,440",7027,5421.0,1586.0
"Alabama, Talladega","82,146",33373,13905.0,19246.0
"Alabama, Tallapoosa","41,048",18829,6319.0,12396.0
"Alabama, Tuscaloosa","198,807",78590,32048.0,45748.0
"Alabama, Walker","66,104",28521,6557.0,21651.0
"Alabama, Washington","17,146",8778,2976.0,5761.0
"Alabama, Wilcox","11,302",6551,4868.0,1679.0
"Alabama, Winston","24,193",9714,1286.0,8312.0
"Arizona, Apache","72,229",25848,17147.0,8250.0
"Arizona, Cochise","132,017",49003,18546.0,29497.0
"Arizona, Coconino","136,146",51731,29257.0,21220.0
"Arizona, Gila","52,994",21528,7697.0,13455.0
"Arizona, Graham","37,015",11855,3609.0,8076.0
"Arizona, Greenlee","8,764",2974,1310.0,1592.0
"Arizona, La Paz","20,521",5717,1880.0,3714.0
"Arizona, Maricopa","3,947,505",1376558,602288.0,749885.0
"Arizona, Mohave","203,347",70010,19533.0,49168.0
"Arizona, Navajo","107,313",37335,16945.0,19884.0
"Arizona, Pima","993,052",382250,201251.0,174779.0
"Arizona, Pinal","382,251",108315,44306.0,62079.0
"Arizona, Santa Cruz","47,359",13894,9486.0,4235.0
"Arizona, Yavapai","211,990",100283,33918.0,64468.0
"Arizona, Yuma","202,475",41953,18059.0,23352.0
"Arkansas, Arkansas","18,964",6494,2455.0,3897.0
"Arkansas, Ashley","21,515",7921,2859.0,4867.0
"Arkansas, Baxter","41,080",19339,5172.0,13688.0
"Arkansas, Benton","234,938",79257,22636.0,54646.0
"Arkansas, Boone","37,333",15391,3772.0,11159.0
"Arkansas, Bradley","11,266",3652,1449.0,2134.0
"Arkansas, Calhoun","5,278",2174,660.0,1458.0
"Arkansas, Carroll","27,623",10183,3696.0,6125.0
"Arkansas, Chicot","11,498",4361,2649.0,1670.0
"Arkansas, Clark","22,755",8409,3811.0,4343.0
"Arkansas, Clay","15,710",5110,1738.0,3225.0
"Arkansas, Cleburne","25,763",11647,2620.0,8693.0
"Arkansas, Cleveland","8,609",3266,845.0,2313.0
"Arkansas, Columbia","24,413",9455,3557.0,5790.0
"Arkansas, Conway","21,141",7730,3005.0,4514.0
"Arkansas, Craighead","99,993",31700,10527.0,20350.0
"Arkansas, Crawford","61,911",20591,4881.0,15145.0
"Arkansas, Crittenden","50,077",16716,9487.0,6998.0
"Arkansas, Cross","17,703",6681,2279.0,4269.0
"Arkansas, Dallas","7,952",3084,1337.0,1665.0
"Arkansas, Desha","12,590",4420,2443.0,1896.0
"Arkansas, Drew","18,788",6633,2630.0,3887.0
"Arkansas, Faulkner","118,523",41460,13621.0,26722.0
"Arkansas, Franklin","17,959",6540,1726.0,4631.0
"Arkansas, Fulton","12,169",4522,1452.0,2949.0
"Arkansas, Garland","96,986",40728,13804.0,26014.0
"Arkansas, Grant","18,038",6479,1468.0,4829.0
"Arkansas, Greene","43,229",13761,4000.0,9071.0
"Arkansas, Hempstead","22,344",6921,2468.0,4284.0
"Arkansas, Hot Spring","33,507",11260,3830.0,7097.0
"Arkansas, Howard","13,675",4462,1471.0,2892.0
"Arkansas, Independence","36,953",12397,3281.0,8728.0
"Arkansas, Izard","13,541",5278,1524.0,3575.0
"Arkansas, Jackson","17,680",5347,2095.0,3072.0
"Arkansas, Jefferson","74,634",27383,17470.0,9520.0
"Arkansas, Johnson","25,914",8098,2799.0,5064.0
"Arkansas, Lafayette","7,450",2929,1173.0,1713.0
"Arkansas, Lawrence","17,040",5540,1788.0,3536.0
"Arkansas, Lee","10,184",3424,2107.0,1280.0
"Arkansas, Lincoln","14,180",3726,1425.0,2199.0
"Arkansas, Little River","12,916",5051,1552.0,3385.0
"Arkansas, Logan","21,928",7331,2009.0,5079.0
"Arkansas, Lonoke","70,109",24114,5625.0,17880.0
"Arkansas, Madison","15,597",6568,2099.0,4263.0
"Arkansas, Marion","16,621",7051,2037.0,4774.0
"Arkansas, Miller","43,663",15329,4518.0,10622.0
"Arkansas, Mississippi","45,553",13375,6467.0,6603.0
