Location,total_votes,2000_republican_votes,2000_democrat_votes
"Alabama, Autauga",17208,11993,4942
"Alabama, Baldwin",56480,40872,13997
"Alabama, Barbour",10395,5096,5188
"Alabama, Bibb",7101,4273,2710
"Alabama, Blount",17973,12667,4977
"Alabama, Bullock",4904,1433,3395
"Alabama, Butler",7803,4127,3606
"Alabama, Calhoun",38909,22306,15781
"Alabama, Chambers",11834,6037,5616
"Alabama, Cherokee",7823,4154,3497
"Alabama, Chilton",15092,10066,4806
"Alabama, Choctaw",7374,3600,3707
"Alabama, Clarke",10752,5988,4679
"Alabama, Clay",5883,3719,2045
"Alabama, Cleburne",5092,3333,1664
"Alabama, Coffee",15434,9938,5220
"Alabama, Colbert",21532,10518,10543
"Alabama, Conecuh",5551,2699,2783
"Alabama, Coosa",4567,2382,2104
"Alabama, Covington",13613,8961,4440
"Alabama, Crenshaw",4795,2793,1934
"Alabama, Cullman",29525,19157,9758
"Alabama, Dale",15806,10593,4906
"Alabama, Dallas",18464,7360,10967
"Alabama, DeKalb",20285,12827,7056
"Alabama, Elmore",23804,16777,6652
"Alabama, Escambia",11660,6975,4523
"Alabama, Etowah",39348,21087,17433
"Alabama, Fayette",7808,4582,3064
"Alabama, Franklin",11103,6119,4793
"Alabama, Geneva",9559,6588,2769
"Alabama, Greene",4396,850,3504
"Alabama, Hale",7731,2984,4652
"Alabama, Henry",6932,4054,2782
"Alabama, Houston",32057,22150,9412
"Alabama, Jackson",17906,8475,9066
"Alabama, Jefferson",273763,138491,129889
"Alabama, Lamar",7249,4470,2653
"Alabama, Lauderdale",32137,17478,13875
"Alabama, Lawrence",12185,5671,6296
"Alabama, Lee",38264,22433,14574
"Alabama, Limestone",23634,14204,8992
"Alabama, Lowndes",6243,1638,4557
"Alabama, Macon",8831,1091,7665
"Alabama, Madison",113318,62151,48199
"Alabama, Marengo",9608,4690,4841
"Alabama, Marion",11756,6910,4600
"Alabama, Marshall",27989,17084,10381
"Alabama, Mobile",139745,78162,58640
"Alabama, Monroe",8951,5153,3741
"Alabama, Montgomery",80328,38827,40371
"Alabama, Morgan",42681,25774,16060
"Alabama, Perry",5787,1732,4020
"Alabama, Pickens",8540,4306,4143
"Alabama, Pike",10544,6058,4357
"Alabama, Randolph",7919,4666,3094
"Alabama, Russell",14775,6198,8396
"Alabama, St. Clair",24090,17117,6485
"Alabama, Shelby",62128,47651,13183
"Alabama, Sumter",6088,1629,4415
"Alabama, Talladega",25451,13807,11264
"Alabama, Tallapoosa",16253,9805,6183
"Alabama, Tuscaloosa",60114,34003,24614
"Alabama, Walker",25641,13486,11621
"Alabama, Washington",7596,4117,3386
"Alabama, Wilcox",5126,1661,3444
"Alabama, Winston",9318,6413,2692
"Arizona, Apache",19456,5947,13025
"Arizona, Cochise",33241,18180,13360
"Arizona, Coconino",40883,17562,20280
"Arizona, Gila",17736,9158,7700
"Arizona, Graham",9664,6007,3355
"Arizona, Greenlee",2960,1619,1216
"Arizona, La Paz",4483,2543,1769
"Arizona, Maricopa",901699,479967,386683
"Arizona, Mohave",44141,24386,17470
"Arizona, Navajo",25147,12386,11794
"Arizona, Pima",287640,124579,147688
"Arizona, Pinal",41290,20122,19650
"Arizona, Santa Cruz",8893,3344,5233
"Arizona, Yavapai",68228,40144,24063
"Arizona, Yuma",28652,15708,12055
"Arkansas, Arkansas",6372,3353,2877
"Arkansas, Ashley",8271,3876,4253
"Arkansas, Baxter",16708,9538,6516
"Arkansas, Benton",53646,34838,17277
"Arkansas, Boone",13635,8569,4493
"Arkansas, Bradley",3979,1793,2122
"Arkansas, Calhoun",2185,1128,1017
"Arkansas, Carroll",9590,5556,3595
"Arkansas, Chicot",4452,1564,2820
"Arkansas, Clark",8626,3776,4661
"Arkansas, Clay",5900,2254,3527
"Arkansas, Cleburne",10207,5730,4120
"Arkansas, Cleveland",3181,1678,1414
"Arkansas, Columbia",9307,5018,4003
"Arkansas, Conway",7234,3545,3496
"Arkansas, Craighead",25157,12158,12376
"Arkansas, Crawford",17625,10804,6288
"Arkansas, Crittenden",13234,5857,7224
"Arkansas, Cross",6215,3033,3096
"Arkansas, Dallas",3325,1571,1710
"Arkansas, Desha",4495,1603,2776
"Arkansas, Drew",5922,2756,3060
"Arkansas, Faulkner",29216,16055,11950
"Arkansas, Franklin",6140,3277,2674
"Arkansas, Fulton",4108,2036,1976
"Arkansas, Garland",35935,19098,15840
"Arkansas, Grant",6013,3285,2535
"Arkansas, Greene",12484,5831,6319
"Arkansas, Hempstead",7289,3257,3937
"Arkansas, Hot Spring",10981,5042,5527
"Arkansas, Howard",4459,2326,2063
"Arkansas, Independence",11594,6145,5146
"Arkansas, Izard",5032,2301,2587
"Arkansas, Jackson",6072,2280,3651
"Arkansas, Jefferson",27201,8765,17716
"Arkansas, Johnson",7161,3657,3270
"Arkansas, Lafayette",3383,1538,1806
"Arkansas, Lawrence",6040,2626,3255
"Arkansas, Lee",4121,1351,2727
"Arkansas, Lincoln",3546,1526,1957
"Arkansas, Little River",5263,2283,2883
"Arkansas, Logan",8096,4487,3283
"Arkansas, Lonoke",17943,10606,6851
"Arkansas, Madison",5628,3387,2055
"Arkansas, Marion",6015,3402,2233
"Arkansas, Miller",13745,7276,6278
"Arkansas, Mississippi",12586,5199,7107
"Arkansas, Monroe",3293,1329,1910
"Arkansas, Montgomery",3739,2128,1438
"Arkansas, Nevada",3738,1796,1867
"Arkansas, Newton",3927,2529,1205
"Arkansas, Ouachita",10395,4739,5464
"Arkansas, Perry",4007,2114,1648
"Arkansas, Phillips",9313,3154,6018
"Arkansas, Pike",3971,2275,1604
"Arkansas, Poinsett",7235,2988,4102
"Arkansas, Polk",7193,4600,2315
"Arkansas, Pope",18422,11244,6669
"Arkansas, Prairie",3507,1862,1563
"Arkansas, Pulaski",127151,55866,68320
"Arkansas, Randolph",5877,2673,3019
"Arkansas, St. Francis",8496,3414,4986
"Arkansas, Saline",32391,18617,12700
"Arkansas, Scott",3981,2399,1444
"Arkansas, Searcy",4058,2610,1229
"Arkansas, Sebastian",40159,23483,15555
"Arkansas, Sevier",4293,2111,2095
"Arkansas, Sharp",7126,3698,3236
"Arkansas, Stone",4860,2623,2043
"Arkansas, Union",15609,8647,6261
"Arkansas, Van Buren",6984,3485,3202
"Arkansas, Washington",51459,28231,21425
"Arkansas, White",22150,13170,8342
"Arkansas, Woodruff",2651,898,1699
"Arkansas, Yell",6479,3223,3062
"California, Alameda",494336,119279,342889
"California, Alpine",586,281,265
"California, Amador",15464,8766,5906
"California, Butte",83721,45584,31338
"California, Calaveras",18876,10599,7093
"California, Colusa",5590,3629,1745
"California, Contra Costa",381478,141373,224338
"California, Del Norte",8294,4526,3117
"California, El Dorado",72136,42045,26220
"California, Fresno",220835,117342,95059
"California, Glenn",8711,5795,2498
"California, Humboldt",55972,23219,24851
"California, Imperial",28937,12524,15489
"California, Inyo",7815,4713,2652
"California, Kern",182308,110663,66003
"California, Kings",28335,16377,11041
"California, Lake",20919,8699,10717
"California, Lassen",10586,7080,2982
"California, Los Angeles",2695154,871930,1710505
"California, Madera",33395,20283,11650
"California, Marin",123155,34872,79135
"California, Mariposa",8074,4727,2816
"California, Mendocino",34410,12272,16634
"California, Merced",50418,26102,22726
"California, Modoc",4107,2969,945
"California, Mono",4371,2296,1788
"California, Monterey",117534,43761,67618
"California, Napa",51724,20633,28097
"California, Nevada",47479,25998,17670
"California, Orange",970905,541299,391819
"California, Placer",117799,69835,42449
"California, Plumas",10401,6343,3458
"California, Riverside",451127,231955,202576
"California, Sacramento",431550,195619,212792
"California, San Benito",16831,7015,9131
"California, San Bernardino",454893,221757,214749
"California, San Diego",958634,475736,437666
"California, San Francisco",319786,51496,241578
"California, San Joaquin",167239,81773,79776
"California, San Luis Obispo",108886,56859,44526
"California, San Mateo",259399,80296,166757
"California, Santa Barbara",154974,71493,73411
"California, Santa Clara",548129,188750,332490
"California, Santa Cruz",108350,29627,66618
"California, Shasta",66544,43278,20127
"California, Sierra",1847,1172,540
"California, Siskiyou",19819,12198,6323
"California, Solano",131735,51604,75116
"California, Sonoma",197006,63529,117295
"California, Stanislaus",128267,67188,56448
"California, Sutter",26564,17350,8416
"California, Tehama",20854,13270,6507
"California, Trinity",5797,3340,1932
"California, Tulare",89818,54070,33006
"California, Tuolumne",23727,13172,9359
"California, Ventura",282692,136173,133258
"California, Yolo",61436,23057,33747
"California, Yuba",16127,9838,5546
"Colorado, Adams",107852,47561,54132
"Colorado, Alamosa",5659,2857,2455
"Colorado, Arapahoe",189942,97768,82614
"Colorado, Archuleta",4758,2988,1432
"Colorado, Baca",2278,1663,531
"Colorado, Bent",1963,1096,783
"Colorado, Boulder",139626,50873,69983
"Colorado, Chaffee",7610,4300,2768
"Colorado, Cheyenne",1212,957,209
"Colorado, Clear Creek",4924,2247,2188
"Colorado, Conejos",3671,1772,1749
"Colorado, Costilla",1648,504,1054
"Colorado, Crowley",1445,855,511
"Colorado, Custer",2111,1451,507
"Colorado, Delta",12686,8372,3264
"Colorado, Denver",198347,61224,122693
"Colorado, Dolores",1134,741,293
"Colorado, Douglas",86225,56007,27076
"Colorado, Eagle",15188,7165,6772
"Colorado, Elbert",8965,6151,2326
"Colorado, El Paso",200757,128294,61799
"Colorado, Fremont",16056,9914,5293
"Colorado, Garfield",17104,9103,6087
"Colorado, Gilpin",2465,1006,1099
"Colorado, Grand",6353,3570,2308
"Colorado, Gunnison",7236,3128,3059
