Location,total_votes,2008_democrat_votes,2008_republican_votes
"Alabama, Autauga",23641,6093.0,17403.0
"Alabama, Baldwin",81413,19386.0,61271.0
"Alabama, Barbour",11630,5697.0,5866.0
"Alabama, Bibb",8644,2299.0,6262.0
"Alabama, Blount",24267,3522.0,20389.0
"Alabama, Bullock",5415,4011.0,1391.0
"Alabama, Butler",9709,4188.0,5485.0
"Alabama, Calhoun",49242,16334.0,32348.0
"Alabama, Chambers",14956,6799.0,8067.0
"Alabama, Cherokee",9745,2306.0,7298.0
"Alabama, Chilton",17785,3674.0,13960.0
"Alabama, Choctaw",7894,3636.0,4223.0
"Alabama, Clarke",13435,5914.0,7466.0
"Alabama, Clay",6819,1760.0,4984.0
"Alabama, Cleburne",6492,1168.0,5216.0
"Alabama, Coffee",20128,5079.0,14919.0
"Alabama, Colbert",24843,9703.0,14739.0
"Alabama, Conecuh",6943,3429.0,3470.0
"Alabama, Coosa",5563,2273.0,3248.0
"Alabama, Covington",15787,3240.0,12444.0
"Alabama, Crenshaw",6291,1938.0,4319.0
"Alabama, Cullman",35305,5864.0,28896.0
"Alabama, Dale",19320,5270.0,13886.0
"Alabama, Dallas",20852,13986.0,6798.0
"Alabama, DeKalb",24015,5658.0,17957.0
"Alabama, Elmore",34315,8301.0,25777.0
"Alabama, Escambia",14674,5188.0,9375.0
"Alabama, Etowah",44737,13497.0,30595.0
"Alabama, Fayette",7957,1994.0,5883.0
"Alabama, Franklin",11693,3469.0,8048.0
"Alabama, Geneva",11657,2134.0,9417.0
"Alabama, Greene",5305,4408.0,876.0
"Alabama, Hale",8214,4982.0,3200.0
"Alabama, Henry",8648,3018.0,5585.0
"Alabama, Houston",41735,12225.0,29254.0
"Alabama, Jackson",20874,6374.0,14083.0
"Alabama, Jefferson",318524,166121.0,149921.0
"Alabama, Lamar",7075,1614.0,5419.0
"Alabama, Lauderdale",38104,13329.0,24068.0
"Alabama, Lawrence",14680,5164.0,9277.0
"Alabama, Lee",54325,21498.0,32230.0
"Alabama, Limestone",33551,9536.0,23598.0
"Alabama, Lowndes",7278,5449.0,1809.0
"Alabama, Macon",10877,9450.0,1396.0
"Alabama, Madison",152899,64117.0,86965.0
"Alabama, Marengo",11471,5926.0,5516.0
"Alabama, Marion",12355,2600.0,9536.0
"Alabama, Marshall",33166,7038.0,25727.0
"Alabama, Mobile",181424,82181.0,98049.0
"Alabama, Monroe",11252,5025.0,6175.0
"Alabama, Montgomery",104743,62166.0,42031.0
"Alabama, Morgan",50542,13895.0,36014.0
"Alabama, Perry",6159,4457.0,1679.0
"Alabama, Pickens",10067,4594.0,5434.0
"Alabama, Pike",13955,5879.0,8004.0
"Alabama, Randolph",10384,3064.0,7175.0
"Alabama, Russell",18915,10085.0,8705.0
"Alabama, St. Clair",34088,6091.0,27649.0
"Alabama, Shelby",90643,20625.0,69060.0
"Alabama, Sumter",7020,5264.0,1731.0
"Alabama, Talladega",34204,13779.0,20112.0
"Alabama, Tallapoosa",19311,6063.0,13116.0
"Alabama, Tuscaloosa",78912,32796.0,45405.0
"Alabama, Walker",28652,7420.0,20722.0
"Alabama, Washington",8775,3067.0,5654.0
"Alabama, Wilcox",6494,4612.0,1868.0
"Alabama, Winston",10031,1757.0,8103.0
"Arizona, Apache",24262,15390.0,8551.0
"Arizona, Cochise",48820,18943.0,29026.0
"Arizona, Coconino",54344,31433.0,22186.0
"Arizona, Gila",22333,7884.0,14095.0
"Arizona, Graham",12007,3487.0,8376.0
"Arizona, Greenlee",2913,1165.0,1712.0
"Arizona, La Paz",5552,1929.0,3509.0
"Arizona, Maricopa",1364962,602166.0,746448.0
"Arizona, Mohave",67605,22092.0,44333.0
"Arizona, Navajo",35800,15579.0,19761.0
"Arizona, Pima",393428,206254.0,182406.0
"Arizona, Pinal",104883,44254.0,59421.0
"Arizona, Santa Cruz",13303,8683.0,4518.0
"Arizona, Yavapai",99648,36889.0,61192.0
"Arizona, Yuma",43615,18559.0,24577.0
"Arkansas, Arkansas",6978,2619.0,4185.0
"Arkansas, Ashley",8642,2976.0,5406.0
"Arkansas, Baxter",19981,6539.0,12852.0
"Arkansas, Benton",76073,23331.0,51124.0
"Arkansas, Boone",15474,4435.0,10575.0
