Location,Total_Votes_2016,2016_republican_votes,2016_democrat_votes
"Alabama, Autauga",24973,18172,5936
"Alabama, Baldwin",95215,72883,18458
"Alabama, Barbour",10469,5454,4871
"Alabama, Bibb",8819,6738,1874
"Alabama, Blount",25588,22859,2156
"Alabama, Bullock",4710,1140,3530
"Alabama, Butler",8732,4901,3726
"Alabama, Calhoun",47864,32865,13242
"Alabama, Chambers",13900,7843,5784
"Alabama, Cherokee",10733,8953,1547
"Alabama, Chilton",18369,15081,2911
"Alabama, Choctaw",7292,4106,3109
"Alabama, Clarke",13031,7140,5749
"Alabama, Clay",6624,5245,1237
"Alabama, Cleburne",6593,5764,684
"Alabama, Coffee",20767,15875,4221
"Alabama, Colbert",24915,16746,7312
"Alabama, Conecuh",6585,3420,3080
"Alabama, Coosa",5252,3381,1782
"Alabama, Covington",15940,13267,2387
"Alabama, Crenshaw",6267,4513,1664
"Alabama, Cullman",37873,32989,3798
"Alabama, Dale",18749,13808,4413
"Alabama, Dallas",18792,5789,12836
"Alabama, DeKalb",25826,21405,3622
"Alabama, Elmore",37260,27634,8443
"Alabama, Escambia",14845,9935,4605
"Alabama, Etowah",44164,32353,10442
"Alabama, Fayette",8249,6712,1362
"Alabama, Franklin",12040,9466,2197
"Alabama, Geneva",11758,9994,1525
"Alabama, Greene",4880,838,4013
"Alabama, Hale",8040,3173,4775
"Alabama, Henry",8072,5632,2292
"Alabama, Houston",42639,30728,10664
"Alabama, Jackson",20984,16672,3673
"Alabama, Jefferson",304191,134768,156873
"Alabama, Lamar",6966,5823,1036
"Alabama, Lauderdale",39525,27899,9952
"Alabama, Lawrence",14829,10833,3627
"Alabama, Lee",59191,34617,21230
"Alabama, Limestone",40294,29067,9468
"Alabama, Lowndes",6684,1751,4883
"Alabama, Macon",9140,1431,7566
"Alabama, Madison",163389,89520,62822
"Alabama, Marengo",10994,5233,5615
"Alabama, Marion",12984,11274,1432
"Alabama, Marshall",35316,29233,4917
"Alabama, Mobile",172737,95116,72186
"Alabama, Monroe",10271,5795,4332
"Alabama, Montgomery",95878,34003,58916
"Alabama, Morgan",50644,37486,11254
"Alabama, Perry",5278,1407,3824
"Alabama, Pickens",9542,5456,3972
"Alabama, Pike",13168,7693,5056
"Alabama, Randolph",10187,7705,2291
"Alabama, Russell",19256,9210,9579
"Alabama, Shelby",101254,73020,22977
"Alabama, St. Clair",38400,31651,5589
"Alabama, Sumter",6411,1581,4746
"Alabama, Talladega",33407,20614,12121
"Alabama, Tallapoosa",19486,13594,5519
