year,state,state_code,county,candidate,party,candidate_votes,total_votes
2012,Alabama,AL,Autauga,Barack Obama,democrat,6363.0,23932
2012,Alabama,AL,Autauga,Mitt Romney,republican,17379.0,23932
2012,Alabama,AL,Baldwin,Barack Obama,democrat,18424.0,85338
2012,Alabama,AL,Baldwin,Mitt Romney,republican,66016.0,85338
2012,Alabama,AL,Barbour,Barack Obama,democrat,5912.0,11509
2012,Alabama,AL,Barbour,Mitt Romney,republican,5550.0,11509
2012,Alabama,AL,Bibb,Barack Obama,democrat,2202.0,8420
2012,Alabama,AL,Bibb,Mitt Romney,republican,6132.0,8420
2012,Alabama,AL,Blount,Barack Obama,democrat,2970.0,24006
2012,Alabama,AL,Blount,Mitt Romney,republican,20757.0,24006
2012,Alabama,AL,Bullock,Barack Obama,democrat,4061.0,5322
2012,Alabama,AL,Bullock,Mitt Romney,republican,1251.0,5322
2012,Alabama,AL,Butler,Barack Obama,democrat,4374.0,9496
2012,Alabama,AL,Butler,Mitt Romney,republican,5087.0,9496
2012,Alabama,AL,Calhoun,Barack Obama,democrat,15511.0,46257
2012,Alabama,AL,Calhoun,Mitt Romney,republican,30278.0,46257
2012,Alabama,AL,Chambers,Barack Obama,democrat,6871.0,14611
2012,Alabama,AL,Chambers,Mitt Romney,republican,7626.0,14611
2012,Alabama,AL,Cherokee,Barack Obama,democrat,2132.0,9779
2012,Alabama,AL,Cherokee,Mitt Romney,republican,7506.0,9779
2012,Alabama,AL,Chilton,Barack Obama,democrat,3397.0,17462
2012,Alabama,AL,Chilton,Mitt Romney,republican,13932.0,17462
2012,Alabama,AL,Choctaw,Barack Obama,democrat,3786.0,7968
2012,Alabama,AL,Choctaw,Mitt Romney,republican,4152.0,7968
2012,Alabama,AL,Clarke,Barack Obama,democrat,6334.0,13851
2012,Alabama,AL,Clarke,Mitt Romney,republican,7470.0,13851
2012,Alabama,AL,Clay,Barack Obama,democrat,1777.0,6662
2012,Alabama,AL,Clay,Mitt Romney,republican,4817.0,6662
2012,Alabama,AL,Cleburne,Barack Obama,democrat,971.0,6305
2012,Alabama,AL,Cleburne,Mitt Romney,republican,5272.0,6305
2012,Alabama,AL,Coffee,Barack Obama,democrat,4925.0,19770
2012,Alabama,AL,Coffee,Mitt Romney,republican,14666.0,19770
2012,Alabama,AL,Colbert,Barack Obama,democrat,9166.0,23385
2012,Alabama,AL,Colbert,Mitt Romney,republican,13936.0,23385
