State,County,State_po,Location
Alabama,Autauga,AL,"Alabama, Autauga"
Alabama,Baldwin,AL,"Alabama, Baldwin"
Alabama,Barbour,AL,"Alabama, Barbour"
Alabama,Bibb,AL,"Alabama, Bibb"
Alabama,Blount,AL,"Alabama, Blount"
Alabama,Bullock,AL,"Alabama, Bullock"
Alabama,Butler,AL,"Alabama, Butler"
Alabama,Calhoun,AL,"Alabama, Calhoun"
Alabama,Chambers,AL,"Alabama, Chambers"
Alabama,Cherokee,AL,"Alabama, Cherokee"
Alabama,Chilton,AL,"Alabama, Chilton"
Alabama,Choctaw,AL,"Alabama, Choctaw"
Alabama,Clarke,AL,"Alabama, Clarke"
Alabama,Clay,AL,"Alabama, Clay"
Alabama,Cleburne,AL,"Alabama, Cleburne"
Alabama,Coffee,AL,"Alabama, Coffee"
Alabama,Colbert,AL,"Alabama, Colbert"
Alabama,Conecuh,AL,"Alabama, Conecuh"
Alabama,Coosa,AL,"Alabama, Coosa"
Alabama,Covington,AL,"Alabama, Covington"
Alabama,Crenshaw,AL,"Alabama, Crenshaw"
Alabama,Cullman,AL,"Alabama, Cullman"
Alabama,Dale,AL,"Alabama, Dale"
Alabama,Dallas,AL,"Alabama, Dallas"
Alabama,DeKalb,AL,"Alabama, DeKalb"
Alabama,Elmore,AL,"Alabama, Elmore"
Alabama,Escambia,AL,"Alabama, Escambia"
Alabama,Etowah,AL,"Alabama, Etowah"
Alabama,Fayette,AL,"Alabama, Fayette"
Alabama,Franklin,AL,"Alabama, Franklin"
Alabama,Geneva,AL,"Alabama, Geneva"
Alabama,Greene,AL,"Alabama, Greene"
Alabama,Hale,AL,"Alabama, Hale"
Alabama,Henry,AL,"Alabama, Henry"
Alabama,Houston,AL,"Alabama, Houston"
Alabama,Jackson,AL,"Alabama, Jackson"
Alabama,Jefferson,AL,"Alabama, Jefferson"
Alabama,Lamar,AL,"Alabama, Lamar"
Alabama,Lauderdale,AL,"Alabama, Lauderdale"
Alabama,Lawrence,AL,"Alabama, Lawrence"
Alabama,Lee,AL,"Alabama, Lee"
Alabama,Limestone,AL,"Alabama, Limestone"
Alabama,Lowndes,AL,"Alabama, Lowndes"
Alabama,Macon,AL,"Alabama, Macon"
Alabama,Madison,AL,"Alabama, Madison"
Alabama,Marengo,AL,"Alabama, Marengo"
Alabama,Marion,AL,"Alabama, Marion"
Alabama,Marshall,AL,"Alabama, Marshall"
Alabama,Mobile,AL,"Alabama, Mobile"
Alabama,Monroe,AL,"Alabama, Monroe"
Alabama,Montgomery,AL,"Alabama, Montgomery"
Alabama,Morgan,AL,"Alabama, Morgan"
Alabama,Perry,AL,"Alabama, Perry"
Alabama,Pickens,AL,"Alabama, Pickens"
Alabama,Pike,AL,"Alabama, Pike"
Alabama,Randolph,AL,"Alabama, Randolph"
Alabama,Russell,AL,"Alabama, Russell"
Alabama,St. Clair,AL,"Alabama, St. Clair"
Alabama,Shelby,AL,"Alabama, Shelby"
Alabama,Sumter,AL,"Alabama, Sumter"
Alabama,Talladega,AL,"Alabama, Talladega"
Alabama,Tallapoosa,AL,"Alabama, Tallapoosa"
Alabama,Tuscaloosa,AL,"Alabama, Tuscaloosa"
Alabama,Walker,AL,"Alabama, Walker"
Alabama,Washington,AL,"Alabama, Washington"
Alabama,Wilcox,AL,"Alabama, Wilcox"
Alabama,Winston,AL,"Alabama, Winston"
Arizona,Apache,AZ,"Arizona, Apache"
Arizona,Cochise,AZ,"Arizona, Cochise"
Arizona,Coconino,AZ,"Arizona, Coconino"
Arizona,Gila,AZ,"Arizona, Gila"
Arizona,Graham,AZ,"Arizona, Graham"
Arizona,Greenlee,AZ,"Arizona, Greenlee"
Arizona,La Paz,AZ,"Arizona, La Paz"
Arizona,Maricopa,AZ,"Arizona, Maricopa"
Arizona,Mohave,AZ,"Arizona, Mohave"
Arizona,Navajo,AZ,"Arizona, Navajo"
Arizona,Pima,AZ,"Arizona, Pima"
Arizona,Pinal,AZ,"Arizona, Pinal"
Arizona,Santa Cruz,AZ,"Arizona, Santa Cruz"
Arizona,Yavapai,AZ,"Arizona, Yavapai"
Arizona,Yuma,AZ,"Arizona, Yuma"
Arkansas,Arkansas,AR,"Arkansas, Arkansas"
Arkansas,Ashley,AR,"Arkansas, Ashley"
Arkansas,Baxter,AR,"Arkansas, Baxter"
Arkansas,Benton,AR,"Arkansas, Benton"
Arkansas,Boone,AR,"Arkansas, Boone"
Arkansas,Bradley,AR,"Arkansas, Bradley"
Arkansas,Calhoun,AR,"Arkansas, Calhoun"
Arkansas,Carroll,AR,"Arkansas, Carroll"
Arkansas,Chicot,AR,"Arkansas, Chicot"
Arkansas,Clark,AR,"Arkansas, Clark"
Arkansas,Clay,AR,"Arkansas, Clay"
Arkansas,Cleburne,AR,"Arkansas, Cleburne"
Arkansas,Cleveland,AR,"Arkansas, Cleveland"
Arkansas,Columbia,AR,"Arkansas, Columbia"
Arkansas,Conway,AR,"Arkansas, Conway"
Arkansas,Craighead,AR,"Arkansas, Craighead"
Arkansas,Crawford,AR,"Arkansas, Crawford"
Arkansas,Crittenden,AR,"Arkansas, Crittenden"
Arkansas,Cross,AR,"Arkansas, Cross"
Arkansas,Dallas,AR,"Arkansas, Dallas"
Arkansas,Desha,AR,"Arkansas, Desha"
Arkansas,Drew,AR,"Arkansas, Drew"
Arkansas,Faulkner,AR,"Arkansas, Faulkner"
Arkansas,Franklin,AR,"Arkansas, Franklin"
Arkansas,Fulton,AR,"Arkansas, Fulton"
Arkansas,Garland,AR,"Arkansas, Garland"
Arkansas,Grant,AR,"Arkansas, Grant"
Arkansas,Greene,AR,"Arkansas, Greene"
Arkansas,Hempstead,AR,"Arkansas, Hempstead"
Arkansas,Hot Spring,AR,"Arkansas, Hot Spring"
Arkansas,Howard,AR,"Arkansas, Howard"
Arkansas,Independence,AR,"Arkansas, Independence"
Arkansas,Izard,AR,"Arkansas, Izard"
Arkansas,Jackson,AR,"Arkansas, Jackson"
Arkansas,Jefferson,AR,"Arkansas, Jefferson"
Arkansas,Johnson,AR,"Arkansas, Johnson"
Arkansas,Lafayette,AR,"Arkansas, Lafayette"
Arkansas,Lawrence,AR,"Arkansas, Lawrence"
Arkansas,Lee,AR,"Arkansas, Lee"
Arkansas,Lincoln,AR,"Arkansas, Lincoln"
Arkansas,Little River,AR,"Arkansas, Little River"
Arkansas,Logan,AR,"Arkansas, Logan"
Arkansas,Lonoke,AR,"Arkansas, Lonoke"
Arkansas,Madison,AR,"Arkansas, Madison"
Arkansas,Marion,AR,"Arkansas, Marion"
Arkansas,Miller,AR,"Arkansas, Miller"
Arkansas,Mississippi,AR,"Arkansas, Mississippi"
Arkansas,Monroe,AR,"Arkansas, Monroe"
Arkansas,Montgomery,AR,"Arkansas, Montgomery"
Arkansas,Nevada,AR,"Arkansas, Nevada"
Arkansas,Newton,AR,"Arkansas, Newton"
Arkansas,Ouachita,AR,"Arkansas, Ouachita"
Arkansas,Perry,AR,"Arkansas, Perry"
Arkansas,Phillips,AR,"Arkansas, Phillips"
Arkansas,Pike,AR,"Arkansas, Pike"
Arkansas,Poinsett,AR,"Arkansas, Poinsett"
Arkansas,Polk,AR,"Arkansas, Polk"
Arkansas,Pope,AR,"Arkansas, Pope"
Arkansas,Prairie,AR,"Arkansas, Prairie"
Arkansas,Pulaski,AR,"Arkansas, Pulaski"
Arkansas,Randolph,AR,"Arkansas, Randolph"
Arkansas,St. Francis,AR,"Arkansas, St. Francis"
Arkansas,Saline,AR,"Arkansas, Saline"
